Gmt time,Open,High,Low,Close,Volume
04.12.2023 01:24:00.000,16418.589,16420.099,16418.589,16419.549,0
04.12.2023 01:25:00.000,16420.199,16420.199,16418.089,16418.579,0
04.12.2023 01:26:00.000,16418.059,16418.079,16416.569,16418.069,0
04.12.2023 01:27:00.000,16418.559,16419.069,16418.049,16418.099,0
04.12.2023 01:28:00.000,16418.699,16419.059,16417.589,16419.059,0
04.12.2023 01:29:00.000,16419.077,16420.549,16418.569,16420.549,0
04.12.2023 01:30:00.000,16420.567,16420.567,16418.049,16418.569,0.01
04.12.2023 01:31:00.000,16418.089,16419.199,16416.559,16417.559,0.01
04.12.2023 01:32:00.000,16417.199,16419.089,16415.549,16416.699,0
04.12.2023 01:33:00.000,16416.079,16417.099,16413.079,16414.559,0
04.12.2023 01:34:00.000,16414.079,16416.599,16413.549,16413.549,0
04.12.2023 01:35:00.000,16414.199,16414.199,16410.559,16413.049,0
04.12.2023 01:36:00.000,16413.589,16414.699,16412.549,16413.589,0
04.12.2023 01:37:00.000,16413.049,16414.199,16412.549,16413.589,0
04.12.2023 01:38:00.000,16413.079,16416.559,16413.059,16415.569,0
04.12.2023 01:39:00.000,16415.049,16417.059,16415.049,16417.059,0
